nu,I_denoised
250000000000000.0,4.0978193e-08
251000000000000.0,4.4703484e-08
252000000000000.0,4.0978193e-08
253000000000000.0,5.2154064e-08
254000000000000.0,4.0978193e-08
255000000000000.0,4.4703484e-08
256000000000000.0,4.0978193e-08
257000000000000.0,4.4703484e-08
258000000000000.0,4.4703484e-08
259000000000000.0,4.4703484e-08
260000000000000.0,4.4703484e-08
261000000000000.0,4.8428774e-08
262000000000000.0,4.4703484e-08
263000000000000.0,4.4703484e-08
264000000000000.0,4.4703484e-08
265000000000000.0,4.4703484e-08
266000000000000.0,4.8428774e-08
267000000000000.0,4.4703484e-08
268000000000000.0,4.4703484e-08
269000000000000.0,4.4703484e-08
270000000000000.0,4.4703484e-08
271000000000000.0,4.4703484e-08
272000000000000.0,4.4703484e-08
273000000000000.0,4.4703484e-08
274000000000000.0,5.2154064e-08
275000000000000.0,4.4703484e-08
276000000000000.0,4.4703484e-08
277000000000000.0,4.4703484e-08
278000000000000.0,4.8428774e-08
279000000000000.0,4.8428774e-08
280000000000000.0,4.4703484e-08
281000000000000.0,4.4703484e-08
282000000000000.0,4.4703484e-08
283000000000000.0,4.4703484e-08
284000000000000.0,4.4703484e-08
285000000000000.0,4.4703484e-08
286000000000000.0,4.4703484e-08
287000000000000.0,4.4703484e-08
288000000000000.0,4.4703484e-08
289000000000000.0,4.4703484e-08
290000000000000.0,4.4703484e-08
291000000000000.0,4.4703484e-08
292000000000000.0,4.4703484e-08
293000000000000.0,4.0978193e-08
294000000000000.0,4.4703484e-08
295000000000000.0,4.4703484e-08
296000000000000.0,4.4703484e-08
297000000000000.0,4.4703484e-08
298000000000000.0,4.4703484e-08
299000000000000.0,4.4703484e-08
300000000000000.0,4.4703484e-08
301000000000000.0,4.4703484e-08
302000000000000.0,158768.42
303000000000000.0,1158768.2
304000000000000.0,2158768.5
305000000000000.0,3158768.5
306000000000000.0,4158768.0
307000000000000.0,5158768.5
308000000000000.0,6158768.0
309000000000000.0,7158769.0
310000000000000.0,8158768.5
311000000000000.0,9158767.0
312000000000000.0,10158768.0
313000000000000.0,11158768.0
314000000000000.0,12158767.0
315000000000000.0,13158768.0
316000000000000.0,14158768.0
317000000000000.0,15158767.0
318000000000000.0,16158768.0
319000000000000.0,17158768.0
320000000000000.0,18158768.0
321000000000000.0,19158768.0
322000000000000.0,20158768.0
323000000000000.0,21158766.0
324000000000000.0,22158766.0
325000000000000.0,23158764.0
326000000000000.0,24158768.0
327000000000000.0,25158768.0
328000000000000.0,26158768.0
329000000000000.0,27158768.0
330000000000000.0,28158770.0
331000000000000.0,29158768.0
332000000000000.0,30158766.0
333000000000000.0,31158768.0
334000000000000.0,32158768.0
335000000000000.0,33158768.0
336000000000000.0,34158770.0
337000000000000.0,35158770.0
338000000000000.0,36158770.0
339000000000000.0,37158770.0
340000000000000.0,38158770.0
341000000000000.0,39158770.0
342000000000000.0,40158772.0
343000000000000.0,41158764.0
344000000000000.0,42158772.0
345000000000000.0,43158770.0
346000000000000.0,44158770.0
347000000000000.0,45158770.0
348000000000000.0,46158772.0
349000000000000.0,47158770.0
350000000000000.0,48158770.0
351000000000000.0,49158770.0
352000000000000.0,50158770.0
353000000000000.0,51158770.0
354000000000000.0,52158770.0
355000000000000.0,53158770.0
356000000000000.0,54158770.0
357000000000000.0,55158772.0
358000000000000.0,56158764.0
359000000000000.0,57158770.0
360000000000000.0,58158770.0
361000000000000.0,59158770.0
362000000000000.0,60158770.0
363000000000000.0,61158770.0
364000000000000.0,62158764.0
365000000000000.0,63158772.0
366000000000000.0,64158764.0
367000000000000.0,65158772.0
368000000000000.0,66158770.0
369000000000000.0,67158770.0
370000000000000.0,68158770.0
371000000000000.0,69158770.0
372000000000000.0,70158770.0
373000000000000.0,71158770.0
374000000000000.0,72158776.0
375000000000000.0,73158770.0
376000000000000.0,74158770.0
377000000000000.0,75158770.0
378000000000000.0,76158770.0
379000000000000.0,77158770.0
380000000000000.0,78158770.0
381000000000000.0,79158770.0
382000000000000.0,80158770.0
383000000000000.0,81158770.0
384000000000000.0,82158770.0
385000000000000.0,83158760.0
386000000000000.0,84158776.0
387000000000000.0,85158770.0
388000000000000.0,86158770.0
389000000000000.0,87158770.0
390000000000000.0,88158770.0
391000000000000.0,89158770.0
392000000000000.0,90158770.0
393000000000000.0,91158760.0
394000000000000.0,92158770.0
395000000000000.0,93158770.0
396000000000000.0,94158760.0
397000000000000.0,95158770.0
398000000000000.0,96158770.0
399000000000000.0,97158780.0
400000000000000.0,98158770.0
